INSTITUIÇÃO;CONTRATO;TIPO PESSOA;DOCUMENTO;FINANCIADO;UF;ULTIMO EVENTO;DATA;HORA;PROTESTO;TAGS;BOLETO Á VENCER;PASTA(AT);PASTA(AT)ABERTA;PASTA(AD);PASTA(AD)ABERTA;HOT;BOM;INDEFINIDO;RUIM;R$ VENCIDAS;R$ VINCENDAS;R$ VENCIDAS + VINCENDAS;DIAS DE ATRASO;PARCELAS ATRASADAS;1º PARCELA;QTDE. PARCELAS RESTANTES;PLANO;DETALHE EVENTO;USÚARIO;BENS;BOLETO GERADO POR;CODIGO PESSOA;TIPO PESSOA.1;MARCA;MODELO;CHASSIS;PLACA;RENAVAM;COR;ANO;COMBUSTIVEL
Borges Mendonça - EI;1546518;Jurídica;718.324.596-91;Maria Júlia Ferreira;SE;Pagamento;2024-05-23;09:20:27;Sim;Inadimplente;1;False;True;True;True;True;False;False;False;6575.56;5657.12;3484.44;123;5;2024-03-25;36;C;Id occaecati dignissimos esse.;barrosmaria-clara;Moto;Sistema C;6590932;Jurídica;da Luz;magni;4752760047;BTN-9S71;22409690854;Prata;2003;Etanol
Pereira Ltda.;6112246;Física;627.835.409-83;Camila Mendonça;SE;Protesto;2024-06-29;18:22:56;Sim;Inadimplente;3;True;True;False;False;False;True;True;True;4249.18;9537.13;5117.4;22;8;2024-03-08;26;A;Voluptatibus odio beatae rerum.;jcunha;Moto;Sistema A;3534584;Física;da Costa;eius;3499557556;YGV-0K69;92223973668;Vermelho;2020;Híbrido
da Rocha;2527956;Física;28.496.375/0001-03;Luana Ramos;AP;Atraso;2024-02-15;02:29:55;Sim;Recente;5;True;True;True;True;False;True;True;False;1904.29;3943.0;16965.6;194;5;2024-01-19;50;A;Numquam alias sit reiciendis necessitatibus.;da-matajose-miguel;Moto;Sistema B;944659;Física;Araújo - ME;alias;8397135921;QAX-8H46;15794812326;Azul;2016;Diesel
Silveira;0041461;Física;53.041.986/0001-04;Alice Câmara;MA;Pagamento;2024-07-04;12:12:52;Não;Recente;3;False;False;False;True;True;False;True;True;1164.76;1583.95;18743.6;263;1;2024-07-17;13;C;Minus ducimus molestias nemo maiores consequuntur labore.;ana-luiza70;Moto;Sistema C;2737436;Jurídica;Cirino;eligendi;7479648592;ZWL-8C64;23069300688;Preto;2009;Etanol
Montenegro - ME;6475635;Física;127.650.498-58;Benício Pimenta;AL;Negociação;2024-07-28;21:18:43;Não;Inadimplente;5;True;False;False;True;False;False;False;False;5789.29;544.92;655.84;365;3;2024-04-22;59;B;Blanditiis facilis possimus.;isabelmacedo;Terreno;Sistema A;6629229;Física;Correia;maiores;6043478398;DQV-6U18;65177764709;Vermelho;2010;Diesel
Castro;7013762;Jurídica;845.230.916-33;Sra. Marina da Costa;MG;Pagamento;2024-10-01;14:09:56;Sim;Recente;3;True;True;False;False;True;True;True;True;5088.33;4031.35;19873.78;209;8;2024-09-27;28;C;Amet tenetur cupiditate ullam laborum.;bmendes;Moto;Sistema C;6061922;Física;Pinto;rem;2870851145;JLE-7F95;53709961163;Prata;2007;Diesel
Siqueira;4693535;Física;75.682.903/0001-07;Sra. Beatriz Pinto;PE;Pagamento;2024-02-28;23:00:52;Não;Recente;3;False;False;True;False;True;False;False;False;8274.33;8180.93;19838.02;101;2;2024-04-25;19;A;Possimus numquam doloribus odit beatae porro.;ravy97;Casa;Sistema A;4521241;Física;Aparecida;suscipit;4180395424;AVT-0A13;81805699710;Branco;2015;GNV
Macedo;9308754;Física;91.024.587/0001-24;Srta. Lara Oliveira;CE;Pagamento;2024-04-25;11:57:44;Não;Recente;5;True;True;True;False;False;True;True;False;1050.15;9724.35;18490.56;68;7;2024-06-16;45;A;Dolore nihil doloremque necessitatibus.;karagao;Carro;Sistema C;2810246;Jurídica;Carvalho - ME;molestiae;6586585259;OSA-6V29;97421755564;Branco;2011;Etanol
da Paz;4692537;Física;81.907.623/0001-44;Rhavi Viana;AP;Protesto;2024-07-13;05:59:21;Sim;Recente;1;True;True;False;True;False;True;False;True;7395.38;1192.13;2545.9;235;7;2024-03-26;8;B;Quam unde blanditiis culpa magnam.;lizda-mata;Carro;Sistema A;9826087;Física;Jesus Macedo - EI;similique;2984425636;LEX-0L85;88745861867;Vermelho;2008;Etanol
da Costa Duarte e Filhos;8306504;Jurídica;84.527.906/0001-59;Isabella Fernandes;RR;Negociação;2024-07-19;17:29:10;Não;Recente;5;False;False;False;False;True;True;False;True;613.6;4896.77;4972.28;97;4;2024-03-15;19;C;Ab fugit fugiat qui.;leaoerick;Moto;Sistema A;2976468;Jurídica;Leão Câmara S.A.;dolore;5897678895;OLH-3C70;68074553494;Branco;2007;Gasolina
